class,subclass,level,feature_name,feature_type,short_rules,tags,notes
Cleric,Portal Domain,6,Anchoring Ward,subclass_feature,"You can ward an area or creature against unwanted planar travel and forced teleportation making it difficult for enemies to banish, blink, or displacement-hop around your protected zone.","defense,anti-teleport",Great for locking down key objectives or keeping bosses from escaping.
Cleric,Serpent Domain,6,Eyes of the Viper,subclass_feature,You can see clearly in dim light and darkness and have an easier time spotting hidden or invisible foes that move or breathe.,"perception,darkvision",May grant darkvision and a bonus to Perception checks to notice hidden creatures.
Cleric,Shadow Domain,6,Umbral Step,subclass_feature,"You can step between patches of darkness, teleporting a short distance from one shadow to another that you can see.","teleportation,mobility",Range should be moderate and require both points to be in dim light or darkness.
Cleric,Vermin Domain,6,Plague-Touched,subclass_feature,You gain resistance to poison damage and advantage on saving throws against disease and poison.,"defense,poison,disease",You may appear sickly even as you shrug off such effects.
Cleric,Wind Domain,6,Skystride,subclass_feature,"You can briefly run along walls or leap extraordinary distances, and you take less damage from falls while your deity's winds lift you.","mobility,environment",May occasionally grant short bursts of limited flight at high levels if desired.
Cleric,Demise Domain,6,Grave's Grasp,subclass_feature,"You can cause ghostly hands to seize a foe, slowing it and making it vulnerable to effects that finish off weakened enemies.","control,necrotic",May impose a speed penalty or disadvantage on certain saves.
Cleric,Mischief Domain,6,Trickster's Escape,subclass_feature,"You can slip out of harm with uncanny ease, occasionally turning an attack that would have hit you into a near miss or swapping places with an illusory double.","defense,mobility",Use as a reaction with limited uses per rest.
Cleric,Storm Domain,6,Heart of the Tempest,subclass_feature,"While standing in rain, wind, or similar weather your spells and weapon strikes charged with lightning or thunder are slightly more potent.","offense,environment",Can be modeled as bonus damage or improved save DCs in dangerous weather.
Cleric,Life Domain,8,Divine Strike (Radiant),subclass_feature,Once on each of your turns when you hit with a weapon attack you can deal extra radiant damage.,"offense,radiant",Damage dice scale at higher levels as with other Divine Strike features.
Cleric,Blood Domain,8,Divine Strike (Necrotic),subclass_feature,Once on each of your turns when you hit with a weapon attack you can channel destructive blood magic to deal extra necrotic damage.,"offense,necrotic",Extra damage dice increase at higher levels like other Divine Strike features.
Cleric,Hunt Domain,8,Divine Strike (Piercing),subclass_feature,"Once on each of your turns when you hit with a weapon attack, usually with a bow or spear, you can deal extra piercing damage empowered by your deity.","offense,piercing",Extra dice scale similarly to other Divine Strike options.
Cleric,Mercy Domain,8,Potent Spellcasting,subclass_feature,Your simple prayers hit harder; you add your Wisdom modifier to the damage you deal with cleric cantrips.,"offense,spellcasting",Alternative to a weapon-focused Divine Strike.
Cleric,Portal Domain,8,Potent Spellcasting,subclass_feature,Your mastery of spatial magic sharpens your cantrips; you add your Wisdom modifier to the damage you deal with cleric cantrips.,"offense,spellcasting",Fits a caster-heavy cleric build.
Cleric,Serpent Domain,8,Divine Strike (Poison),subclass_feature,Once on each of your turns when you hit with a weapon attack you can deal extra poison damage.,"offense,poison",Some creatures will resist or ignore this damage type.
Cleric,Shadow Domain,8,Potent Spellcasting,subclass_feature,Your shadowy prayers bite deeper; you add your Wisdom modifier to the damage you deal with cleric cantrips.,"offense,necrotic,spellcasting",Pairs well with necrotic or cold-themed cantrips.
Cleric,Vermin Domain,8,Divine Strike (Poison),subclass_feature,Once on each of your turns when you hit with a weapon attack you can deal extra poison damage imbued by your god of decay.,"offense,poison",Be mindful that many monsters resist poison.
Cleric,Wind Domain,8,Potent Spellcasting,subclass_feature,Your air and storm prayers gain force; you add your Wisdom modifier to the damage you deal with cleric cantrips.,"offense,air,spellcasting",Pairs well with thunder or lightning flavored cantrips.
Cleric,Demise Domain,8,Divine Strike (Necrotic),subclass_feature,Once on each of your turns when you hit with a weapon attack you can channel the chill of the grave to deal extra necrotic damage.,"offense,necrotic",Damage dice increase as with other Divine Strike features.
Cleric,Mischief Domain,8,Potent Spellcasting,subclass_feature,Your whimsical cantrips bite harder than expected; you add your Wisdom modifier to the damage you deal with cleric cantrips.,"offense,spellcasting",Further reinforces a caster heavy build.
Cleric,Storm Domain,8,Divine Strike (Thunder or Lightning),subclass_feature,Once on each of your turns when you hit with a weapon attack you can deal extra thunder or lightning damage.,"offense,lightning,thunder",Choose the damage type for each attack when you apply the strike.
Cleric,Life Domain,17,Supreme Healing,subclass_feature,When you roll dice to restore hit points with a spell you treat any roll of a 1 as if it were the maximum possible on that die.,"capstone,healing",Produces very reliable high-end healing late in the game.
Cleric,Blood Domain,17,Master of the Red Tide,subclass_feature,"You can briefly seize command of the flow of life in a battlefield, massively amplifying your blood themed magic and making it very difficult for enemies you have wounded to escape or heal.","capstone,control,necrotic",Consider a once-per-long-rest effect that enhances multiple blood domain spells or features at once.
Cleric,Hunt Domain,17,Perfect Quarry,subclass_feature,"Against your chosen quarry your attacks rarely miss, and it is extremely hard for that creature to hide, escape, or gain advantage against you.","capstone,offense,tracking",Implement as a powerful package of bonuses against a single important target.
Cleric,Mercy Domain,17,Avatar of Compassion,subclass_feature,In times of great need you can manifest a briefly transcendent state in which your healing and protective magic surge in power and enemies find it difficult to bring your allies down.,"capstone,healing,defense",Use sparingly as a once-per-rest or once-per-day heightened support mode.
Cleric,Portal Domain,17,Master of Thresholds,subclass_feature,"You can briefly control the boundaries between places, opening short-lived gateways, sealing exits, or redirecting teleportation and planar travel in dramatic ways.","capstone,teleportation,control",A powerful narrative tool that also has strong combat applications.
Cleric,Serpent Domain,17,Coiled Divinity,subclass_feature,"You can manifest the quasi-spiritual form of a great serpent around you, gaining advantage on many escape attempts and exerting a fearsome, venomous presence on surrounding foes.","capstone,fear,poison",Use as a high-level stance or transformation during major battles.
Cleric,Shadow Domain,17,Avatar of Night,subclass_feature,"You can transform into an embodiment of darkness for a short time, gaining strong resistances, improved movement in dim light, and an aura that saps the courage and vitality of nearby foes.","capstone,defense,necrotic",Reserve for major encounters as a powerful temporary form.
Cleric,Vermin Domain,17,Lord of Swarms,subclass_feature,"You can command large waves of vermin to blanket an area, heavily obscuring it and gnawing at creatures inside while leaving your chosen allies largely unbothered.","capstone,area,control","Use carefully, as it reshapes the battlefield dramatically."
Cleric,Wind Domain,17,Avatar of the Gale,subclass_feature,"You can become the eye of a roaring storm, flying freely for a time and projecting strong winds that knock foes prone, push them back, and scatter projectiles.","capstone,flight,control",A dramatic battlefield reshaping ability suited for final fights.
Cleric,Demise Domain,17,Master of Final Rest,subclass_feature,"You exert strong authority over death in your vicinity, making it difficult for enemies to rise again and empowering your spells that kill or dismiss undead.","capstone,death,control",Can also provide protective benefits against effects that would slay your allies.
Cleric,Mischief Domain,17,Avatar of Caprice,subclass_feature,"You can temporarily embody divine mischief, warping probability around you so that allies enjoy small strokes of luck while enemies suffer hilarious misfortunes.","capstone,luck,control","Can be framed as an aura that tweaks attack rolls, saves, and skill checks in a small radius."
Cleric,Storm Domain,17,Storm Sovereign,subclass_feature,"You can briefly command the battlefield as a living storm, flying through the air and calling down bolts and peals that punish foes who cluster or ignore your warnings.","capstone,flight,area,offense",High-level expression of storm power combining mobility and strong area damage.
Druid,Circle of the Land,2,Circle Spells,subclass_feature,You gain additional spells based on the type of land you are tied to; these spells are always prepared for you.,"spells,terrain","Terrain options like forest, desert, arctic, etc., each grant a themed spell list."
Druid,Circle of the Land,2,Natural Recovery,subclass_feature,"Once per day after a short rest you can recover some expended spell slots, similar to a limited arcane recovery for druids.","resource,spell-recovery",Only works on lower-level spell slots and has a cap based on your druid level.
Druid,Circle of Ash,2,Ashen Circle Spells,subclass_feature,"Your circle spells revolve around fire, smoke, and rebirth from devastation.","spells,fire,theme-ash","Include fire damage, obscuring smoke, and regrowth-themed spells."
Druid,Circle of Ash,2,Embers of Renewal,subclass_feature,"When a creature you heal is at 0 hit points, tiny sparks dance over them, granting extra temporary hit points and a brief bonus to their next saving throw.","healing,temporary-hp",Represents life rekindled from dying embers.
Druid,Circle of Bees,2,Bee Circle Spells,subclass_feature,"Your circle spells involve swarms, buzzing clouds, and rapid pollination.","spells,swarm,utility",Feature spells that summon swarms or enhance plants.
Druid,Circle of Bees,2,Hive Bond,subclass_feature,"You can speak to and subtly direct bees and similar insects, using them to scout, deliver tiny objects, or harass intruders.","scouting,utility",Provides strong narrative tools for information gathering.
Druid,Circle of Crystals,2,Crystal Circle Spells,subclass_feature,"Your circle spells emphasize light refraction, solid stone, and crystalline growth.","spells,earth,light","Include spells that harden skin, create barriers, or refract light."
Druid,Circle of Crystals,2,Prismatic Shards,subclass_feature,"You can cause small crystal shards to jut from the ground or your body, making it painful for enemies to stand too close or shove you.","defense,terrain",Can impose minor damage or disadvantage on attempts to grapple or swarm you.
Druid,Circle of Sand,2,Sand Circle Spells,subclass_feature,"Your circle spells draw on desert heat, dust storms, and buried secrets.","spells,terrain,earth","Emphasize exhaustion, mirages, and sand manipulation."
Druid,Circle of Sand,2,Desert Walker,subclass_feature,You move easily across sand and loose earth and gain resistance to extreme heat and thirst.,"mobility,environment",Perfect for harsh desert campaigns.
Druid,Circle of the Green,2,Green Circle Spells,subclass_feature,"Your circle spells celebrate vigorous plant growth, entangling roots, and life energy.","spells,plants,healing",Include entangle-style and regrowth-oriented magic.
Druid,Circle of the Green,2,Verdant Touch,subclass_feature,"Where you tread, plants thrive; you can cause small flowers and vines to sprout and gain a minor bonus when using plants to hide, climb, or create cover.","utility,terrain",Largely narrative but offers small mechanical edges in natural areas.
Druid,Circle of the Shapeless,2,Shapeless Circle Spells,subclass_feature,"Your circle spells echo oozes and strange forms, involving acid, amorphous shapes, and body-altering magic.","spells,acid,weird",Leans into aberrant and ooze themes.
Druid,Circle of the Shapeless,2,Fluid Form,subclass_feature,"Your body becomes slightly malleable, letting you squeeze through tight spaces and granting advantage on checks to escape grapples or restraints.","mobility,defense",You keep your basic shape but can stretch and compress unnaturally.
Druid,Circle of Wind,2,Wind Circle Spells,subclass_feature,"Your circle spells focus on air, sound, and light-footed movement.","spells,air,mobility","Pull from gusts, flight, and thunder or lightning magic."
Druid,Circle of Wind,2,Sky Dancer,subclass_feature,"You become especially light on your feet, gaining a small speed bonus and advantage on checks to keep your balance or avoid being knocked prone.","mobility,defense",Represents wind-aligned grace and agility.
Druid,Circle of the Many,2,Many Circle Spells,subclass_feature,"Your circle spells evoke duplication, swarms of tiny spirits, and collective action.","spells,swarm,illusion",Fits themes of being one among many or composed of many smaller parts.
Druid,Circle of the Many,2,Fragmented Self,subclass_feature,"You can split your presence slightly, creating faint spiritual echoes that help on certain checks and can take the hit for you in minor ways.","defense,utility",Model as a limited number of decoy charges that impose disadvantage on attacks.
Druid,Circle of the Land,6,Land's Stride,subclass_feature,You can move through nonmagical difficult terrain without extra movement and gain resistance to being slowed by plants or undergrowth.,"mobility,terrain",Also grants advantage against some plant-based magic that restrains or entangles.
Druid,Circle of Ash,6,Cinder Step,subclass_feature,"You can move through areas of fire, ash, or lava-scarred ground more safely and briefly leave behind hot patches that deter pursuers.","mobility,fire,terrain",Treat fire-based difficult terrain as less harmful for you while this feature is active.
Druid,Circle of Bees,6,Stinging Cloud,subclass_feature,You can summon a dense ring of insects that lightly obscures an area and deals small piercing damage to creatures that linger within it.,"area,control,swarm",May also impose disadvantage on Perception checks that rely on sight in the area.
Druid,Circle of Crystals,6,Stoneglass Aegis,subclass_feature,You can wrap yourself or an ally in a thin shell of crystal that grants a modest boost to Armor Class and can shatter to reduce incoming damage.,"defense,temporary-hp",Acts like a protective buffer that absorbs part of an attack.
Druid,Circle of Sand,6,Shifting Dunes,subclass_feature,"You can cause the ground in an area to ripple like sand, slowing creatures that cross it and occasionally pulling them off balance.","control,terrain",Use as battlefield control to hinder enemy charges or retreats.
Druid,Circle of the Green,6,Grasping Undergrowth,subclass_feature,"You can cause roots and vines to seize foes in a chosen area, restraining them or at least slowing their movement if they resist fully.","control,area,plants",Targets save to avoid being restrained; those who succeed still move slower.
Druid,Circle of the Shapeless,6,Ooze-Blooded,subclass_feature,"You gain resistance to acid damage and your Wild Shape can mimic certain ooze-like movements, such as clinging to ceilings or walls.","defense,environment","Does not grant full ooze traits, but nods in that direction."
Druid,Circle of Wind,6,Buffeting Gust,subclass_feature,"You can summon a focused blast of wind to shove creatures, extinguish flames, or scatter light cover in a line or cone.","control,air",Creatures make Strength saves to resist being pushed.
Druid,Circle of the Many,6,Cooperative Casting,subclass_feature,"Your spirit-shards or small companions help you focus, letting you slightly extend the area or duration of some spells.","support,spellcasting","Apply modest boosts, such as extra targets for buffs or increased radii."
Druid,Circle of the Land,10,Nature Ward,subclass_feature,You gain resilience against poison and disease and may grant similar protection to nearby allies.,"defense,condition-resistance",Often includes immunity to natural diseases and advantage on saves vs poison.
Druid,Circle of Ash,10,Scorching Reprisal,subclass_feature,"When a creature destroys or heavily damages natural terrain near you, you can answer with a flare of heat that scorches them in return.","reaction,fire,defense","Can be triggered when nature is defiled, not just in combat."
Druid,Circle of Bees,10,Honeyed Resilience,subclass_feature,Your close allies benefit from your connection to the hive; sharing food or rest in your care grants them minor temporary hit points and help against exhaustion.,"support,rest-bonus",Best expressed as extra benefits at the end of short or long rests.
Druid,Circle of Crystals,10,Refracted Radiance,subclass_feature,"Light-based spells you cast can split into multiple beams or bend around corners slightly, allowing you to affect more than one target or arc light to catch hidden foes.","offense,utility,light",Keep the extra coverage modest to avoid overshadowing area spells.
Druid,Circle of Sand,10,Mirage Veil,subclass_feature,"You can cloak yourself and nearby allies in heat shimmer illusions, granting advantage on Stealth checks in open terrain and making you harder to target at long range.","stealth,defense,illusion","Illusions are subtle, more about distortion than full invisibility."
Druid,Circle of the Green,10,Blooming Recovery,subclass_feature,"When you or an ally spends Hit Dice to heal during a rest, faint green light and blooms appear, granting a small additional amount of healing.","healing,rest-bonus",Makes your party notably better at recovering between fights.
Druid,Circle of the Shapeless,10,Amorphous Ward,subclass_feature,"You can partially liquefy when struck, reducing some bludgeoning, piercing, or slashing damage as your body flows with the blow.","defense,damage-reduction",Use as a limited reaction-based mitigation feature.
Druid,Circle of Wind,10,Rider on the Breeze,subclass_feature,"You can glide or hover for short periods, and falling from heights is far less dangerous for you and chosen allies.","mobility,flight",Allows limited flight or controlled descent rather than full free flight at all times.
Druid,Circle of the Many,10,Swarm Step,subclass_feature,"You can dissolve into a cloud of tiny forms and reform a short distance away, bypassing narrow gaps and some obstacles.","mobility,teleportation",Similar in feel to a short-range teleport with a swarm visual.
Druid,Circle of the Land,14,Nature's Sanctuary,subclass_feature,Beasts and fey are reluctant to attack you; many such creatures must pass a test of will to strike you directly.,"defense,charm,nature",Encourages negotiation and coexistence with natural creatures.
Druid,Circle of Ash,14,Phoenix Grove,subclass_feature,"You can briefly wreathe an area in spectral flame that harms foes but bolsters allies, burning away some conditions and granting renewed vigor.","capstone,fire,healing",High-level battlefield control blending damage and support.
Druid,Circle of Bees,14,Queen of the Swarm,subclass_feature,"You can command a vast spiritual swarm that can blanket a large area, hindering enemy movement, lightly damaging them, and granting subtle advantages to your allies within the buzzing field.","capstone,area,control",A dramatic zone control feature for high-level encounters.
Druid,Circle of Crystals,14,Living Geode,subclass_feature,"Your body partially crystallizes while you focus, greatly increasing your resilience and letting you create or reshape crystal terrain in a limited area.","capstone,defense,terrain",A powerful stance that trades some mobility for durability and control.
Druid,Circle of Sand,14,Heart of the Desert,subclass_feature,"You can briefly command a localized sandstorm, heavily obscuring vision, eroding cover, and leaving enemies disoriented while your allies navigate by your guidance.","capstone,area,control","Use judiciously, as it dramatically changes a battlefield."
Druid,Circle of the Green,14,Avatar of Growth,subclass_feature,"You can briefly become a walking thicket, increasing in size and sprouting boughs that shield allies and hinder enemies around you.","capstone,defense,plants,area","Combines cover, difficult terrain, and modest damage or grapples from branches."
Druid,Circle of the Shapeless,14,Formless Apotheosis,subclass_feature,"You can temporarily become almost completely shapeless, flowing through cracks, spreading across surfaces, and reforming at will while still retaining your mind and spellcasting ability.","capstone,utility,stealth",A powerful exploration and infiltration tool with some combat tricks.
Druid,Circle of Wind,14,Tempest Form,subclass_feature,"You can briefly assume a swirling wind form, passing through narrow openings, ignoring nonmagical restraints, and buffeting foes who stand too close.","capstone,flight,area,control",A strong mobility and disruption option for high-level play.
Druid,Circle of the Many,14,Legion Shape,subclass_feature,"You can fully manifest as a roiling mass of small spirits or creatures, becoming difficult to pin down and able to occupy other creatures' spaces while gnawing at them.","capstone,area,damage-over-time","Grants resistances and spreading damage, but may come with limits on precise actions."
Fighter,Champion,3,Improved Critical,subclass_feature,"Your weapon attacks score a critical hit more often than usual, as your strikes naturally find weak points.","offense,critical",Typically expands your critical threat range by 1.
Fighter,Battle Master,3,Combat Superiority,subclass_feature,"You learn a set of maneuvers fueled by superiority dice that let you trip, disarm, reposition, or otherwise outplay foes in combat.","maneuvers,offense,control",You regain expended superiority dice on a short or long rest.
Fighter,Battle Master,3,Student of War,subclass_feature,"You gain proficiency with one type of artisan's tools, reflecting your study of the craft of war.","skills,tools",Tool choice can highlight your background or battlefield role.
Fighter,Eldritch Knight,3,Spellcasting,subclass_feature,"You learn to cast a limited selection of spells, focusing mainly on abjuration and evocation, using Intelligence as your spellcasting ability.","spells,hybrid",Advances on a slower progression than full casters; mostly self-buffs and blasts.
Fighter,Eldritch Knight,3,Weapon Bond,subclass_feature,"You can magically bond with one or more weapons, making them hard to disarm and allowing you to summon a bonded weapon back to your hand.","utility,defense",Bonding requires a ritual; bonded weapons are difficult to lose permanently.
Fighter,Champion,7,Remarkable Athlete,subclass_feature,"Your physical talents let you add a small bonus to certain Strength, Dexterity, or Constitution checks and slightly improve your running jumps.","skills,athletics",Covers non-proficient physical checks and improves jump distance.
Fighter,Battle Master,7,Know Your Enemy,subclass_feature,By observing a foe for a short time you can learn key information about its physical capabilities compared to your own.,"information,utility",Useful for planning tactics before committing to a fight.
Fighter,Eldritch Knight,7,War Magic,subclass_feature,You can blend spell and steel by casting a cantrip and then making a weapon attack as a bonus action.,"gish,action-economy",Encourages you to weave attack cantrips into your fighting style.
Fighter,Champion,10,Additional Fighting Style,subclass_feature,"You learn one more fighting style, further refining your preferred way of combat.","offense,defense",You cannot choose the same style twice.
Fighter,Battle Master,10,Improved Combat Superiority,subclass_feature,"Your superiority dice grow more potent, improving the impact of your maneuvers.","maneuvers,offense",Increase the die size used for your maneuvers.
Fighter,Eldritch Knight,10,Eldritch Strike,subclass_feature,"When you hit a creature with a weapon attack, that target finds it harder to resist your next spell.","offense,debuff",Imposes a penalty or disadvantage on the creature's next saving throw against your spell.
Fighter,Champion,15,Superior Critical,subclass_feature,"Your critical hits become even more frequent, reflecting almost supernatural weapon precision.","offense,critical",Expands your critical range again beyond Improved Critical.
Fighter,Battle Master,15,Relentless,subclass_feature,"If you roll initiative with no superiority dice left, you regain one, ensuring you always have at least a bit of tactical fuel.","resource,recovery",Keeps your maneuvers available across long adventuring days.
Fighter,Eldritch Knight,15,Arcane Charge,subclass_feature,Whenever you use Action Surge you can also teleport a short distance before or after the extra action.,"mobility,teleportation",Lets you reposition aggressively or escape danger while surging.
Fighter,Champion,18,Survivor,subclass_feature,When badly wounded but still standing you passively regain a small number of hit points at the start of each of your turns.,"defense,regeneration",Only functions while you are below a certain portion of your maximum hit points.
Fighter,Eldritch Knight,18,Improved War Magic,subclass_feature,"You can now cast a spell and still make one weapon attack as part of the same turn, even when not limited to cantrips.","gish,action-economy",Represents peak mastery of combining magic with martial skill.
Monk,Way of the Open Hand,3,Open Hand Technique,subclass_feature,"When you use flurries of strikes, you can impose extra effects on creatures you hit, such as knocking them prone, pushing them away, or briefly stopping their reactions.","control,melee,flurry",
Monk,Way of Shadow,3,Shadow Arts,subclass_feature,"You learn shadow-flavored techniques that let you snuff light, cloak yourself in darkness, or move unseen by spending ki.","stealth,illusion,darkness",Often modeled as casting certain stealth-oriented spells using ki.
Monk,Way of the Four Elements,3,Disciple of the Elements,subclass_feature,"You learn elemental disciplines that let you spend ki to unleash blasts of fire, gusts of wind, crushing stone, or flowing water effects.","elemental,spells,ki",
Monk,Way of the Open Hand,6,Wholeness of Body,subclass_feature,"You can draw on your inner energy to heal yourself, restoring a pool of hit points once per long rest.","self-heal,sustain",
Monk,Way of Shadow,6,Shadow Step,subclass_feature,"While in dim light or darkness, you can teleport between shadows and gain advantage on your first melee attack after arriving.","mobility,teleport,stealth",
Monk,Way of the Four Elements,6,Elemental Disciplines (Expanded),subclass_feature,"You learn additional elemental techniques, broadening the list of effects you can fuel with ki.","elemental,choices",
Monk,Way of the Open Hand,11,Tranquility,subclass_feature,You gain a meditative aura of calm that can protect you with a sanctuary-like effect at the start of each day.,"defense,sanctuary,rest",
Monk,Way of Shadow,11,Cloak of Shadows,subclass_feature,You can become invisible in areas of dim light or darkness as long as you remain there and keep your focus.,"stealth,invisibility",
Monk,Way of the Four Elements,11,Elemental Mastery,subclass_feature,"Your elemental talents deepen, often reducing ki costs or improving the impact of the disciplines you already know.","elemental,efficiency",
Monk,Way of the Open Hand,17,Quivering Palm,subclass_feature,"You can strike a creature with a delayed ki vibration, later causing devastating damage or potentially dropping the target to very low hit points when you trigger it.","capstone,single-target,nova",
Monk,Way of Shadow,17,Opportunist,subclass_feature,"When a nearby enemy is struck by another creature's attack, you can use your reaction to strike the same foe, capitalizing on their moment of distraction.","reaction,offense",
Monk,Way of the Four Elements,17,Elemental Avatar,subclass_feature,"You can briefly take on an elemental aspect, surrounding yourself with roaring flame, storm winds, stone, or water, and dealing ongoing damage to nearby foes.","capstone,elemental,aura",
Paladin,Oath of Devotion,3,Oath Spells,subclass_feature,"You gain a list of devotion-themed spells focused on protection, radiant smiting, and honesty; these are always prepared for you.","spells,protection,radiant",Spell list scales with level; emphasize classic holy knight magic.
Paladin,Oath of Devotion,3,Channel Divinity: Sacred Weapon,subclass_feature,"You can infuse a weapon with radiant power, adding your Charisma bonus to attack rolls and causing it to shed bright light for a short duration.","channel-divinity,offense,light",Ends early if you drop the weapon or become incapacitated.
Paladin,Oath of Devotion,3,Channel Divinity: Turn the Unholy,subclass_feature,You can brandish your holy symbol to drive away fiends and undead that fail a saving throw.,"channel-divinity,control,anti-undead",Similar to a cleric-style turning effect but limited to certain creature types.
Paladin,Oath of Vengeance,3,Oath Spells,subclass_feature,"You gain a list of vengeance-themed spells focused on pursuit, restraining foes, and brutal smiting; these are always prepared for you.","spells,offense,chase","Spell list supports marking, hunting, and punishing enemies."
Paladin,Oath of Vengeance,3,Channel Divinity: Abjure Enemy,subclass_feature,"You can speak a divine command that terrifies or hinders a single foe, especially one of great evil, forcing it to flee or become cowed.","channel-divinity,control,fear",The effect is stronger against certain creature types or against your sworn nemesis.
Paladin,Oath of Vengeance,3,Channel Divinity: Vow of Enmity,subclass_feature,"You can swear a vow against one creature, gaining strong combat advantages when fighting that target for a limited time.","channel-divinity,offense,mark",Often grants advantage on attack rolls against that single foe.
Paladin,Oath of the Ancients,3,Oath Spells,subclass_feature,"You gain a list of nature- and light-themed spells that are always prepared for you, focusing on entangling foes and protecting allies.","spells,nature,protection",Spell list resembles a blend of druid and paladin magic.
Paladin,Oath of the Ancients,3,Channel Divinity: Nature's Wrath,subclass_feature,"You can call spectral vines or roots to restrain a creature in reach, forcing it to struggle against being bound.","channel-divinity,control,plants",Target makes a saving throw to avoid or end the restraint.
Paladin,Oath of the Ancients,3,Channel Divinity: Turn the Faithless,subclass_feature,You can present your holy symbol to drive off or cow certain extraplanar or faithless creatures such as fey and fiends.,"channel-divinity,control","Functions similarly to turning, but aimed at specific creature groups."
Paladin,Oath of Devotion,7,Aura of Devotion,subclass_feature,Allies within your aura cannot be charmed while you are conscious.,"aura,charm-immunity",Combines well with Aura of Protection.
Paladin,Oath of Vengeance,7,Relentless Avenger,subclass_feature,"When you hit a creature with an opportunity attack, you can move a short distance as part of the reaction without provoking further opportunity attacks.","mobility,offense",Helps you stick to fleeing enemies or reposition in melee.
Paladin,Oath of the Ancients,7,Aura of Warding,subclass_feature,Your aura reduces the harm that nearby allies take from many damaging spells.,"aura,defense",Typically halves magic damage for creatures within your aura radius.
Paladin,Oath of Devotion,15,Purity of Spirit,subclass_feature,"Your devotion makes you a constant recipient of protective magic, effectively granting ongoing defensive benefits against many harmful effects.","defense,blessings",Often modeled as always under a protective spell-like effect.
Paladin,Oath of Vengeance,15,Soul of Vengeance,subclass_feature,"Your chosen enemy finds it even harder to escape; when your marked foe attacks someone else, you can strike back with a special reaction attack.","reaction,offense,mark",Pairs well with Vow of Enmity and other mark-like effects.
Paladin,Oath of the Ancients,15,Undying Sentinel,subclass_feature,"Once per long rest, when you would be reduced to 0 hit points, you instead drop to 1 hit point, and you age more slowly due to your bond with ancient powers.","defense,survivability",Makes you very hard to finish off in key fights.
Paladin,Oath of Devotion,20,Holy Nimbus,subclass_feature,"You can briefly wreathe yourself in radiant light, damaging nearby enemies and bolstering allies while shedding bright holy radiance.","capstone,aura,radiant",Use as a powerful transformation for key battles.
Paladin,Oath of Vengeance,20,Avenging Angel,subclass_feature,"You can briefly become a winged avatar of retribution, gaining a flying speed and an aura of fear that punishes evildoers around you.","capstone,flight,fear",A dramatic transformation meant for climactic confrontations.
Paladin,Oath of the Ancients,20,Elder Champion,subclass_feature,"You can channel the power of ancient spirits, briefly becoming a radiant guardian of the natural world with improved regeneration and spell-like defenses.","capstone,regeneration,aura",A powerful transformation balanced by limited duration and uses.
Ranger,Hunter,3,Hunter's Prey,subclass_feature,"You choose how you specialize in bringing down foes, such as striking lone targets harder or punishing groups that stand close together.","offense,options",Represents a choice between different offensive techniques.
Ranger,Hunter,3,Hunter Conclave Spells,subclass_feature,You gain a small list of offensive and detection spells that fit the relentless hunter theme.,"spells,offense,tracking",Always prepared for you while you follow this conclave.
Ranger,Beast Master,3,Ranger's Companion,subclass_feature,You bond with a loyal beast that fights alongside you and acts on your commands in battle.,"companion,offense,utility",Beast scales with your level and uses your proficiency bonus for attacks and saves.
Ranger,Beast Master,3,Beast Conclave Spells,subclass_feature,"You gain spells that enhance your companion, track prey, and communicate with animals.","spells,companion,utility",Always prepared as part of this conclave.
Ranger,Deep Stalker,3,Deep Stalker Magic,subclass_feature,"You gain spells themed around darkness, fear, and sudden strikes from hiding.","spells,darkness,offense",Always prepared while you follow this conclave.
Ranger,Deep Stalker,3,Underdark Scout,subclass_feature,"You excel at moving and fighting in darkness or cramped underground spaces, gaining bonuses to initiative and dark-adapted perception.","initiative,perception,stealth","Ideal for dungeons, caves, and night hunts."
Ranger,Hunter,7,Defensive Tactics,subclass_feature,You adopt a defensive technique that helps you avoid hits from enemies that harry you in melee.,"defense,options",Choose from options like evading opportunity attacks or imposing disadvantage.
Ranger,Beast Master,7,Exceptional Training,subclass_feature,"Your companion becomes more responsive, making better use of its reaction and gaining improved combat options when you command it.","companion,offense",Reduces the action cost of directing your beast in combat.
Ranger,Deep Stalker,7,Iron Mind,subclass_feature,"Your experiences in the dark grant you a stronger will, often represented as proficiency in Wisdom saving throws.","defense,mental",Protects you from many fear and charm effects.
Ranger,Hunter,11,Multiattack,subclass_feature,"You learn a method of assaulting multiple nearby foes at once, such as sweeping attacks or rapid volleys.","offense,area",Represents a choice of multi-foe attack style.
Ranger,Beast Master,11,Bestial Fury,subclass_feature,Your beast can strike more than once when you direct it to attack.,"offense,companion",Significant damage boost when relying on your companion.
Ranger,Deep Stalker,11,Stalker's Flurry,subclass_feature,"When you miss an attack on your turn, you can make another attack against the same target as part of the same action.","offense,accuracy",Improves reliability of your main weapon attacks.
Ranger,Hunter,15,Superior Hunter's Defense,subclass_feature,"You gain a powerful defensive trick against hard-hitting foes, such as turning a blow aside or redirecting some of the harm to another enemy.","defense,reaction","Modeled as a small menu of defensive options, chosen once."
Ranger,Beast Master,15,Share Spells,subclass_feature,Many of your self-targeted ranger spells also affect your companion when it is close to you.,"spells,companion,synergy",Lets buffs apply to both you and the beast for better efficiency.
